,O2Conc
0,613.2943114336518
1,977.199932770406
2,235.66073037675832
3,443.0866436988867
4,392.09552245746545
5,264.90930717013913
6,135.27008270782162
7,586.8524229369683
8,148.51192206630452
9,415.25998505053946
10,247.62618607559216
11,918.1224597060663
12,555.7762479601354
13,305.22382821051866
14,180.6232150302446
15,913.9036151955071
16,316.984471167231
17,385.54077480179666
18,193.47739706481354
19,392.09552245746545
20,457.6901922205196
21,200.29402295366668
22,450.02219435142456
23,189.60660769253448
24,950.9401319899976
25,132.64455841321313
26,724.1900371325088
27,330.5839765030657
28,941.7503910396315
29,859.0704613847009
30,378.5181796976254
31,499.81478619259457
32,172.98630864000765
33,259.2601162853951
34,605.8679547886566
35,488.46875090714866
36,439.62684556260035
37,296.67126907988796
38,597.2443046244873
39,400.64491173619007
40,588.6211981076759
41,372.5939436989412
42,264.6836996675285
43,650.321544117194
44,352.2724743296958
45,730.3180828142002
46,248.89210024534168
47,842.7847358216783
48,162.1018634023937
49,596.597552778598
50,404.6866273654438
51,510.64597092183027
52,500.17202298131247
53,233.30737635962234
54,413.7214826911018
55,725.520444782206
56,201.97201381275787
57,465.2052474177899
58,157.4263397116906
59,113.2765095790695
60,166.47356532482988
61,296.570416623387
62,191.07441056031394
63,185.32306199352507
64,449.88086666251473
65,243.22990062313883
66,163.79605696196623
67,185.1445838381727
68,320.3448407951521
69,708.871123391706
70,475.852282777187
71,650.321544117194
72,515.5340878642228
73,385.3066824849251
74,614.6974932278507
75,260.66636529435567
76,160.7003077442145
77,977.199932770406
78,140.68104464110482
79,578.920853040737
80,190.1909311348035
81,89.0292951966878
82,345.55024734495646
83,522.1183583064654
84,291.9943147302673
85,398.26748777967725
86,114.84233485730806
87,251.86132147519726
88,274.9158512566658
89,240.5583808814356
90,757.3164479106696
91,991.3823187791925
92,173.34842838179844
93,446.4183839216898
94,588.6211981076759
95,675.1305065555614
96,230.76325546088034
97,672.2403421541547
98,238.82977829984898
99,211.17511149652
100,328.7461264188573
101,844.311440302107
102,111.31925323205817
103,66.50098711382678
104,98.46553709365678
105,236.1303604848613
106,420.121111614849
107,550.597571886219
108,406.782738234451
109,536.8939727229802
110,461.1345412419337
111,368.99102516049373
112,708.871123391706
113,145.7532662862991
114,475.852282777187
115,255.04541722992238
116,249.50236969555445
117,297.08243755756206
118,435.147504917187
119,287.0157973036607
120,167.45357524751952
121,477.5838859457502
122,478.8560981670856
123,415.71150533399987
124,672.2403421541547
125,431.70381056068226
126,737.5729622057892
127,269.9479718031512
128,522.1183583064654
129,811.1094591458307
130,218.90693803144723
131,579.9986351868145
132,724.1900371325088
133,286.74486278456214
134,373.3685059397943
135,203.83028165140803
136,181.798161609033
137,81.12513916221432
138,597.2443046244873
139,248.89210024534168
140,409.6349198833705
141,269.9479718031512
142,499.4039650393797
143,173.78736268941157
144,350.41498381281525
145,404.6866273654438
146,301.0732547146432
147,550.8035382128264
148,275.0598504564853
149,550.597571886219
150,538.9462676604057
151,525.9044573702348
152,211.98004836953618
153,264.52172528002757
154,429.10728554960895
155,255.04541722992238
156,387.5695916761712
157,377.59773070171804
158,364.0371672503857
159,335.7238579631249
160,581.0251022694317
161,159.0271210891102
162,413.7214826911018
163,781.730513772989
164,174.18294666906064
165,254.1557639003465
166,457.6901922205196
167,234.68122134678097
168,379.45450486390877
169,376.4688866225035
170,370.76030364551673
171,100.61240623045389
172,378.5181796976254
173,409.7737068047619
174,582.0038338713118
175,214.99076340029697
176,305.735139465146
177,891.6477249699832
178,131.3109781040446
179,454.44518244872535
